,NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N,D5C,D5N,D6C,D6N
0,Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Brasil e Unidade da Federação (Código),Brasil e Unidade da Federação,Variável (Código),Variável,Trimestre (Código),Trimestre,Referência temporal (Código),Referência temporal,Tipo de rebanho bovino (Código),Tipo de rebanho bovino,Tipo de inspeção (Código),Tipo de inspeção
64,1,Brasil,1020,Unidades,261,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115234,No 2º mês,111734,Novilhos,111739,Municipal
65,1,Brasil,1020,Unidades,590,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115234,No 2º mês,111735,Novilhas,118225,Total
66,1,Brasil,1020,Unidades,110,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115234,No 2º mês,111735,Novilhas,111737,Federal
67,1,Brasil,1020,Unidades,189,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115234,No 2º mês,111735,Novilhas,111738,Estadual
68,1,Brasil,1020,Unidades,291,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115234,No 2º mês,111735,Novilhas,111739,Municipal
69,1,Brasil,1020,Unidades,...,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115234,No 2º mês,57,Vitelos e vitelas,118225,Total
70,1,Brasil,1020,Unidades,...,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115234,No 2º mês,57,Vitelos e vitelas,111737,Federal
71,1,Brasil,1020,Unidades,...,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115234,No 2º mês,57,Vitelos e vitelas,111738,Estadual
72,1,Brasil,1020,Unidades,...,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115234,No 2º mês,57,Vitelos e vitelas,111739,Municipal
73,1,Brasil,1020,Unidades,1123,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115235,No 3º mês,992,Total,118225,Total
74,1,Brasil,1020,Unidades,194,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115235,No 3º mês,992,Total,111737,Federal
75,1,Brasil,1020,Unidades,407,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115235,No 3º mês,992,Total,111738,Estadual
76,1,Brasil,1020,Unidades,522,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115235,No 3º mês,992,Total,111739,Municipal
77,1,Brasil,1020,Unidades,1057,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115235,No 3º mês,55,Bois,118225,Total
78,1,Brasil,1020,Unidades,191,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115235,No 3º mês,55,Bois,111737,Federal
79,1,Brasil,1020,Unidades,382,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115235,No 3º mês,55,Bois,111738,Estadual
80,1,Brasil,1020,Unidades,484,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115235,No 3º mês,55,Bois,111739,Municipal
81,1,Brasil,1020,Unidades,1036,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115235,No 3º mês,56,Vacas,118225,Total
82,1,Brasil,1020,Unidades,189,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115235,No 3º mês,56,Vacas,111737,Federal
83,1,Brasil,1020,Unidades,376,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115235,No 3º mês,56,Vacas,111738,Estadual
84,1,Brasil,1020,Unidades,471,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115235,No 3º mês,56,Vacas,111739,Municipal
85,1,Brasil,1020,Unidades,422,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115235,No 3º mês,111734,Novilhos,118225,Total
86,1,Brasil,1020,Unidades,35,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115235,No 3º mês,111734,Novilhos,111737,Federal
87,1,Brasil,1020,Unidades,126,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115235,No 3º mês,111734,Novilhos,111738,Estadual
88,1,Brasil,1020,Unidades,261,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115235,No 3º mês,111734,Novilhos,111739,Municipal
89,1,Brasil,1020,Unidades,590,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115235,No 3º mês,111735,Novilhas,118225,Total
90,1,Brasil,1020,Unidades,110,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115235,No 3º mês,111735,Novilhas,111737,Federal
91,1,Brasil,1020,Unidades,189,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115235,No 3º mês,111735,Novilhas,111738,Estadual
92,1,Brasil,1020,Unidades,291,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115235,No 3º mês,111735,Novilhas,111739,Municipal
93,1,Brasil,1020,Unidades,...,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115235,No 3º mês,57,Vitelos e vitelas,118225,Total
94,1,Brasil,1020,Unidades,...,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115235,No 3º mês,57,Vitelos e vitelas,111737,Federal
95,1,Brasil,1020,Unidades,...,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115235,No 3º mês,57,Vitelos e vitelas,111738,Estadual
96,1,Brasil,1020,Unidades,...,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115235,No 3º mês,57,Vitelos e vitelas,111739,Municipal
97,1,Brasil,2,Percentual,100.00,1,Brasil,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115236,Total do trimestre,992,Total,118225,Total
98,1,Brasil,2,Percentual,17.28,1,Brasil,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115236,Total do trimestre,992,Total,111737,Federal
99,1,Brasil,2,Percentual,36.24,1,Brasil,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115236,Total do trimestre,992,Total,111738,Estadual
100,1,Brasil,2,Percentual,46.48,1,Brasil,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115236,Total do trimestre,992,Total,111739,Municipal
