,NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N,D5C,D5N
0,Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,"Brasil, Grande Região e Unidade da Federação (Código)","Brasil, Grande Região e Unidade da Federação",Variável (Código),Variável,Mês (Código),Mês,Ano da safra (Código),Ano da safra,Produto das lavouras (Código),Produto das lavouras
60,1,Brasil,33,Quilogramas por Hectare,289,1,Brasil,36,Rendimento médio,202511,novembro 2025,3009,Safra 2025,39457,12 Castanha-de-caju
61,1,Brasil,33,Quilogramas por Hectare,2268,1,Brasil,36,Rendimento médio,202511,novembro 2025,3009,Safra 2025,39460,15 Fumo
62,1,Brasil,33,Quilogramas por Hectare,-,1,Brasil,36,Rendimento médio,202511,novembro 2025,3009,Safra 2025,39462,17 Juta
63,1,Brasil,33,Quilogramas por Hectare,25617,1,Brasil,36,Rendimento médio,202511,novembro 2025,3009,Safra 2025,39463,18 Laranja
64,1,Brasil,33,Quilogramas por Hectare,15921,1,Brasil,36,Rendimento médio,202511,novembro 2025,3009,Safra 2025,39467,21 Mandioca
65,1,Brasil,33,Quilogramas por Hectare,74630,1,Brasil,36,Rendimento médio,202511,novembro 2025,3009,Safra 2025,39470,24 Tomate
66,1,Brasil,33,Quilogramas por Hectare,25168,1,Brasil,36,Rendimento médio,202511,novembro 2025,3009,Safra 2025,39471,25 Uva
67,2,Grande Região,33,Quilogramas por Hectare,3843,1,Norte,36,Rendimento médio,202511,novembro 2025,58756,Safra 2024,39429,1.1 Algodão herbáceo
68,2,Grande Região,33,Quilogramas por Hectare,2694,1,Norte,36,Rendimento médio,202511,novembro 2025,58756,Safra 2024,39430,1.2 Amendoim (1ª Safra)
69,2,Grande Região,33,Quilogramas por Hectare,1500,1,Norte,36,Rendimento médio,202511,novembro 2025,58756,Safra 2024,39431,1.3 Amendoim (2ª Safra)
70,2,Grande Região,33,Quilogramas por Hectare,5087,1,Norte,36,Rendimento médio,202511,novembro 2025,58756,Safra 2024,39432,1.4 Arroz
71,2,Grande Região,33,Quilogramas por Hectare,-,1,Norte,36,Rendimento médio,202511,novembro 2025,58756,Safra 2024,39433,1.5 Aveia
72,2,Grande Região,33,Quilogramas por Hectare,-,1,Norte,36,Rendimento médio,202511,novembro 2025,58756,Safra 2024,39434,1.7 Centeio
73,2,Grande Região,33,Quilogramas por Hectare,-,1,Norte,36,Rendimento médio,202511,novembro 2025,58756,Safra 2024,39435,1.8 Cevada
74,2,Grande Região,33,Quilogramas por Hectare,1199,1,Norte,36,Rendimento médio,202511,novembro 2025,58756,Safra 2024,39436,1.9 Feijão (1ª Safra)
