,NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N
77,1,Brasil,2,%,-1.0,1,Brasil,6564,Taxa trimestre contra trimestre imediatamente anterior,202503,3º trimestre 2025,90700,"Atividades financeiras, de seguros e serviços relacionados"
78,1,Brasil,2,%,0.8,1,Brasil,6564,Taxa trimestre contra trimestre imediatamente anterior,202503,3º trimestre 2025,90702,Atividades imobiliárias
79,1,Brasil,2,%,0.2,1,Brasil,6564,Taxa trimestre contra trimestre imediatamente anterior,202503,3º trimestre 2025,90701,Outras atividades de serviços
80,1,Brasil,2,%,0.4,1,Brasil,6564,Taxa trimestre contra trimestre imediatamente anterior,202503,3º trimestre 2025,90703,"Administração, saúde e educação públicas e seguridade social"
81,1,Brasil,2,%,0.1,1,Brasil,6564,Taxa trimestre contra trimestre imediatamente anterior,202503,3º trimestre 2025,90705,Valor adicionado a preços básicos
82,1,Brasil,2,%,-,1,Brasil,6564,Taxa trimestre contra trimestre imediatamente anterior,202503,3º trimestre 2025,90706,Impostos líquidos sobre produtos
83,1,Brasil,2,%,0.1,1,Brasil,6564,Taxa trimestre contra trimestre imediatamente anterior,202503,3º trimestre 2025,90707,PIB a preços de mercado
84,1,Brasil,2,%,0.1,1,Brasil,6564,Taxa trimestre contra trimestre imediatamente anterior,202503,3º trimestre 2025,93404,Despesa de consumo das famílias
85,1,Brasil,2,%,1.3,1,Brasil,6564,Taxa trimestre contra trimestre imediatamente anterior,202503,3º trimestre 2025,93405,Despesa de consumo da administração pública
86,1,Brasil,2,%,0.9,1,Brasil,6564,Taxa trimestre contra trimestre imediatamente anterior,202503,3º trimestre 2025,93406,Formação bruta de capital fixo
87,1,Brasil,2,%,3.3,1,Brasil,6564,Taxa trimestre contra trimestre imediatamente anterior,202503,3º trimestre 2025,93407,Exportação de bens e serviços
88,1,Brasil,2,%,0.3,1,Brasil,6564,Taxa trimestre contra trimestre imediatamente anterior,202503,3º trimestre 2025,93408,Importação de bens e serviços (-)
89,Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Brasil (Código),Brasil,Variável (Código),Variável,Trimestre (Código),Trimestre,Setores e subsetores (Código),Setores e subsetores
