,NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N
83,3,Unidade da Federação,38,Reais,1217.74,14,Roraima,9328,"Custo médio m² - componente material - moeda corrente, sem desoneração da folha de pagamento",202511,novembro 2025
84,3,Unidade da Federação,38,Reais,988.17,14,Roraima,9329,"Custo médio m² - componente mão-de-obra - moeda corrente, sem desoneração da folha de pagamento",202511,novembro 2025
85,3,Unidade da Federação,30,Número-índice,915.92,14,Roraima,9330,"Custo médio m² - número-índice, sem desoneração da folha de pagamento",202511,novembro 2025
86,3,Unidade da Federação,30,Número-índice,801.22,14,Roraima,9331,"Custo médio m² - componente material - número-índice, sem desoneração da folha de pagamento",202511,novembro 2025
87,3,Unidade da Federação,30,Número-índice,1207.66,14,Roraima,9332,"Custo médio m² - componente mão-de-obra - número-índice, sem desoneração da folha de pagamento",202511,novembro 2025
88,3,Unidade da Federação,2,%,1.94,14,Roraima,9333,"Custo médio m² - variação percentual no mês, sem desoneração da folha de pagamento",202511,novembro 2025
89,3,Unidade da Federação,2,%,4.39,14,Roraima,9334,"Custo médio m² - variação percentual no ano, sem desoneração da folha de pagamento",202511,novembro 2025
90,3,Unidade da Federação,2,%,4.51,14,Roraima,9335,"Custo médio m² - variação percentual em doze meses, sem desoneração da folha de pagamento",202511,novembro 2025
91,3,Unidade da Federação,38,Reais,2022.87,15,Pará,9327,"Custo médio m² - moeda corrente, sem desoneração da folha de pagamento",202511,novembro 2025
92,3,Unidade da Federação,38,Reais,1176.91,15,Pará,9328,"Custo médio m² - componente material - moeda corrente, sem desoneração da folha de pagamento",202511,novembro 2025
93,3,Unidade da Federação,38,Reais,845.96,15,Pará,9329,"Custo médio m² - componente mão-de-obra - moeda corrente, sem desoneração da folha de pagamento",202511,novembro 2025
94,3,Unidade da Federação,30,Número-índice,969.80,15,Pará,9330,"Custo médio m² - número-índice, sem desoneração da folha de pagamento",202511,novembro 2025
95,3,Unidade da Federação,30,Número-índice,875.62,15,Pará,9331,"Custo médio m² - componente material - número-índice, sem desoneração da folha de pagamento",202511,novembro 2025
96,3,Unidade da Federação,30,Número-índice,1177.40,15,Pará,9332,"Custo médio m² - componente mão-de-obra - número-índice, sem desoneração da folha de pagamento",202511,novembro 2025
97,3,Unidade da Federação,2,%,0.05,15,Pará,9333,"Custo médio m² - variação percentual no mês, sem desoneração da folha de pagamento",202511,novembro 2025
98,3,Unidade da Federação,2,%,4.47,15,Pará,9334,"Custo médio m² - variação percentual no ano, sem desoneração da folha de pagamento",202511,novembro 2025
99,3,Unidade da Federação,2,%,5.02,15,Pará,9335,"Custo médio m² - variação percentual em doze meses, sem desoneração da folha de pagamento",202511,novembro 2025
100,3,Unidade da Federação,38,Reais,2022.83,16,Amapá,9327,"Custo médio m² - moeda corrente, sem desoneração da folha de pagamento",202511,novembro 2025
101,3,Unidade da Federação,38,Reais,1198.16,16,Amapá,9328,"Custo médio m² - componente material - moeda corrente, sem desoneração da folha de pagamento",202511,novembro 2025
102,3,Unidade da Federação,38,Reais,824.67,16,Amapá,9329,"Custo médio m² - componente mão-de-obra - moeda corrente, sem desoneração da folha de pagamento",202511,novembro 2025
103,3,Unidade da Federação,30,Número-índice,982.73,16,Amapá,9330,"Custo médio m² - número-índice, sem desoneração da folha de pagamento",202511,novembro 2025
104,3,Unidade da Federação,30,Número-índice,824.56,16,Amapá,9331,"Custo médio m² - componente material - número-índice, sem desoneração da folha de pagamento",202511,novembro 2025
105,3,Unidade da Federação,30,Número-índice,1428.43,16,Amapá,9332,"Custo médio m² - componente mão-de-obra - número-índice, sem desoneração da folha de pagamento",202511,novembro 2025
106,3,Unidade da Federação,2,%,0.16,16,Amapá,9333,"Custo médio m² - variação percentual no mês, sem desoneração da folha de pagamento",202511,novembro 2025
107,3,Unidade da Federação,2,%,6.74,16,Amapá,9334,"Custo médio m² - variação percentual no ano, sem desoneração da folha de pagamento",202511,novembro 2025
108,3,Unidade da Federação,2,%,7.37,16,Amapá,9335,"Custo médio m² - variação percentual em doze meses, sem desoneração da folha de pagamento",202511,novembro 2025
109,3,Unidade da Federação,38,Reais,2061.85,17,Tocantins,9327,"Custo médio m² - moeda corrente, sem desoneração da folha de pagamento",202511,novembro 2025
110,3,Unidade da Federação,38,Reais,1184.96,17,Tocantins,9328,"Custo médio m² - componente material - moeda corrente, sem desoneração da folha de pagamento",202511,novembro 2025
111,3,Unidade da Federação,38,Reais,876.89,17,Tocantins,9329,"Custo médio m² - componente mão-de-obra - moeda corrente, sem desoneração da folha de pagamento",202511,novembro 2025
112,3,Unidade da Federação,30,Número-índice,1084.42,17,Tocantins,9330,"Custo médio m² - número-índice, sem desoneração da folha de pagamento",202511,novembro 2025
113,3,Unidade da Federação,30,Número-índice,927.30,17,Tocantins,9331,"Custo médio m² - componente material - número-índice, sem desoneração da folha de pagamento",202511,novembro 2025
114,3,Unidade da Federação,30,Número-índice,1576.81,17,Tocantins,9332,"Custo médio m² - componente mão-de-obra - número-índice, sem desoneração da folha de pagamento",202511,novembro 2025
115,3,Unidade da Federação,2,%,0.68,17,Tocantins,9333,"Custo médio m² - variação percentual no mês, sem desoneração da folha de pagamento",202511,novembro 2025
