,NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N
92,3,Unidade da Federação,1020,Unidades,X,13,Amazonas,2417,"Quantidade total de couro cru inteiro de bovino, adquirido e recebido de terceiros para curtimento",202503,3º trimestre 2025,115235,No 3º mês
93,3,Unidade da Federação,2,Percentual,X,13,Amazonas,1002417,"Quantidade total de couro cru inteiro de bovino, adquirido e recebido de terceiros para curtimento - percentual do total geral",202503,3º trimestre 2025,115236,Total do trimestre
94,3,Unidade da Federação,2,Percentual,X,13,Amazonas,1002417,"Quantidade total de couro cru inteiro de bovino, adquirido e recebido de terceiros para curtimento - percentual do total geral",202503,3º trimestre 2025,115233,No 1º mês
95,3,Unidade da Federação,2,Percentual,X,13,Amazonas,1002417,"Quantidade total de couro cru inteiro de bovino, adquirido e recebido de terceiros para curtimento - percentual do total geral",202503,3º trimestre 2025,115234,No 2º mês
96,3,Unidade da Federação,2,Percentual,X,13,Amazonas,1002417,"Quantidade total de couro cru inteiro de bovino, adquirido e recebido de terceiros para curtimento - percentual do total geral",202503,3º trimestre 2025,115235,No 3º mês
97,3,Unidade da Federação,1020,Unidades,...,14,Roraima,151,Número de informantes,202503,3º trimestre 2025,115236,Total do trimestre
98,3,Unidade da Federação,1020,Unidades,...,14,Roraima,151,Número de informantes,202503,3º trimestre 2025,115233,No 1º mês
99,3,Unidade da Federação,1020,Unidades,...,14,Roraima,151,Número de informantes,202503,3º trimestre 2025,115234,No 2º mês
100,3,Unidade da Federação,1020,Unidades,...,14,Roraima,151,Número de informantes,202503,3º trimestre 2025,115235,No 3º mês
101,3,Unidade da Federação,2,Percentual,...,14,Roraima,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115236,Total do trimestre
102,3,Unidade da Federação,2,Percentual,...,14,Roraima,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115233,No 1º mês
103,3,Unidade da Federação,2,Percentual,...,14,Roraima,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115234,No 2º mês
104,3,Unidade da Federação,2,Percentual,...,14,Roraima,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115235,No 3º mês
105,3,Unidade da Federação,1020,Unidades,...,14,Roraima,623,Quantidade de couro cru inteiro de bovino recebido de terceiros para curtimento,202503,3º trimestre 2025,115236,Total do trimestre
106,3,Unidade da Federação,1020,Unidades,...,14,Roraima,623,Quantidade de couro cru inteiro de bovino recebido de terceiros para curtimento,202503,3º trimestre 2025,115233,No 1º mês
107,3,Unidade da Federação,1020,Unidades,...,14,Roraima,623,Quantidade de couro cru inteiro de bovino recebido de terceiros para curtimento,202503,3º trimestre 2025,115234,No 2º mês
108,3,Unidade da Federação,1020,Unidades,...,14,Roraima,623,Quantidade de couro cru inteiro de bovino recebido de terceiros para curtimento,202503,3º trimestre 2025,115235,No 3º mês
109,3,Unidade da Federação,2,Percentual,...,14,Roraima,1000623,Quantidade de couro cru inteiro de bovino recebido de terceiros para curtimento - percentual do total geral,202503,3º trimestre 2025,115236,Total do trimestre
110,3,Unidade da Federação,2,Percentual,...,14,Roraima,1000623,Quantidade de couro cru inteiro de bovino recebido de terceiros para curtimento - percentual do total geral,202503,3º trimestre 2025,115233,No 1º mês
111,3,Unidade da Federação,2,Percentual,...,14,Roraima,1000623,Quantidade de couro cru inteiro de bovino recebido de terceiros para curtimento - percentual do total geral,202503,3º trimestre 2025,115234,No 2º mês
112,3,Unidade da Federação,2,Percentual,...,14,Roraima,1000623,Quantidade de couro cru inteiro de bovino recebido de terceiros para curtimento - percentual do total geral,202503,3º trimestre 2025,115235,No 3º mês
113,3,Unidade da Federação,1020,Unidades,...,14,Roraima,2417,"Quantidade total de couro cru inteiro de bovino, adquirido e recebido de terceiros para curtimento",202503,3º trimestre 2025,115236,Total do trimestre
114,3,Unidade da Federação,1020,Unidades,...,14,Roraima,2417,"Quantidade total de couro cru inteiro de bovino, adquirido e recebido de terceiros para curtimento",202503,3º trimestre 2025,115233,No 1º mês
115,3,Unidade da Federação,1020,Unidades,...,14,Roraima,2417,"Quantidade total de couro cru inteiro de bovino, adquirido e recebido de terceiros para curtimento",202503,3º trimestre 2025,115234,No 2º mês
