,NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N,D5C,D5N
0,Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Brasil e Unidade da Federação (Código),Brasil e Unidade da Federação,Variável (Código),Variável,Trimestre (Código),Trimestre,Referência temporal (Código),Referência temporal,Finalidade da produção (Código),Finalidade da produção
121,3,Unidade da Federação,23,Mil dúzias,2065,12,Acre,29,Quantidade de ovos produzidos,202503,3º trimestre 2025,115236,Total do trimestre,72208,Total
122,3,Unidade da Federação,23,Mil dúzias,2065,12,Acre,29,Quantidade de ovos produzidos,202503,3º trimestre 2025,115236,Total do trimestre,72207,Consumo
123,3,Unidade da Federação,23,Mil dúzias,-,12,Acre,29,Quantidade de ovos produzidos,202503,3º trimestre 2025,115236,Total do trimestre,72206,Incubação
124,3,Unidade da Federação,23,Mil dúzias,687,12,Acre,29,Quantidade de ovos produzidos,202503,3º trimestre 2025,115233,No 1º mês,72208,Total
125,3,Unidade da Federação,23,Mil dúzias,687,12,Acre,29,Quantidade de ovos produzidos,202503,3º trimestre 2025,115233,No 1º mês,72207,Consumo
126,3,Unidade da Federação,23,Mil dúzias,-,12,Acre,29,Quantidade de ovos produzidos,202503,3º trimestre 2025,115233,No 1º mês,72206,Incubação
127,3,Unidade da Federação,23,Mil dúzias,707,12,Acre,29,Quantidade de ovos produzidos,202503,3º trimestre 2025,115234,No 2º mês,72208,Total
128,3,Unidade da Federação,23,Mil dúzias,707,12,Acre,29,Quantidade de ovos produzidos,202503,3º trimestre 2025,115234,No 2º mês,72207,Consumo
129,3,Unidade da Federação,23,Mil dúzias,-,12,Acre,29,Quantidade de ovos produzidos,202503,3º trimestre 2025,115234,No 2º mês,72206,Incubação
130,3,Unidade da Federação,23,Mil dúzias,670,12,Acre,29,Quantidade de ovos produzidos,202503,3º trimestre 2025,115235,No 3º mês,72208,Total
131,3,Unidade da Federação,23,Mil dúzias,670,12,Acre,29,Quantidade de ovos produzidos,202503,3º trimestre 2025,115235,No 3º mês,72207,Consumo
132,3,Unidade da Federação,23,Mil dúzias,-,12,Acre,29,Quantidade de ovos produzidos,202503,3º trimestre 2025,115235,No 3º mês,72206,Incubação
133,3,Unidade da Federação,2,Percentual,100.00,12,Acre,1000029,Quantidade de ovos produzidos - percentual do total geral,202503,3º trimestre 2025,115236,Total do trimestre,72208,Total
134,3,Unidade da Federação,2,Percentual,100.00,12,Acre,1000029,Quantidade de ovos produzidos - percentual do total geral,202503,3º trimestre 2025,115236,Total do trimestre,72207,Consumo
135,3,Unidade da Federação,2,Percentual,-,12,Acre,1000029,Quantidade de ovos produzidos - percentual do total geral,202503,3º trimestre 2025,115236,Total do trimestre,72206,Incubação
136,3,Unidade da Federação,2,Percentual,33.27,12,Acre,1000029,Quantidade de ovos produzidos - percentual do total geral,202503,3º trimestre 2025,115233,No 1º mês,72208,Total
137,3,Unidade da Federação,2,Percentual,33.27,12,Acre,1000029,Quantidade de ovos produzidos - percentual do total geral,202503,3º trimestre 2025,115233,No 1º mês,72207,Consumo
138,3,Unidade da Federação,2,Percentual,-,12,Acre,1000029,Quantidade de ovos produzidos - percentual do total geral,202503,3º trimestre 2025,115233,No 1º mês,72206,Incubação
139,3,Unidade da Federação,2,Percentual,34.24,12,Acre,1000029,Quantidade de ovos produzidos - percentual do total geral,202503,3º trimestre 2025,115234,No 2º mês,72208,Total
140,3,Unidade da Federação,2,Percentual,34.24,12,Acre,1000029,Quantidade de ovos produzidos - percentual do total geral,202503,3º trimestre 2025,115234,No 2º mês,72207,Consumo
141,3,Unidade da Federação,2,Percentual,-,12,Acre,1000029,Quantidade de ovos produzidos - percentual do total geral,202503,3º trimestre 2025,115234,No 2º mês,72206,Incubação
142,3,Unidade da Federação,2,Percentual,32.45,12,Acre,1000029,Quantidade de ovos produzidos - percentual do total geral,202503,3º trimestre 2025,115235,No 3º mês,72208,Total
143,3,Unidade da Federação,2,Percentual,32.45,12,Acre,1000029,Quantidade de ovos produzidos - percentual do total geral,202503,3º trimestre 2025,115235,No 3º mês,72207,Consumo
144,3,Unidade da Federação,2,Percentual,-,12,Acre,1000029,Quantidade de ovos produzidos - percentual do total geral,202503,3º trimestre 2025,115235,No 3º mês,72206,Incubação
145,3,Unidade da Federação,1020,Unidades,36,13,Amazonas,151,Número de informantes,202503,3º trimestre 2025,115236,Total do trimestre,72208,Total
